CustomerID,ObligorName,Country,IndustryCode,LoanAmount,InterestRate,LoanMaturityDate,RiskRating,NetSales,NetIncome,TotalAssets,TotalLiabilities
CUST000001,Company_1,US,2361,8322861,1.89,2025-01-01,BB,6705496,9366412,493843810,98508256
CUST000002,Company_2,UK,2361,3941121,6.62,2025-01-02,A,95798784,12443821,252187402,122883659
CUST000003,Company_3,FR,2361,4157668,2.91,2025-01-03,AAA,84177020,443927,496981625,5215044
CUST000004,Company_4,UK,52,32355669,3.55,2025-01-04,B,6336788,15803927,209976023,122814259
CUST000005,Company_5,FR,5312,5512948,8.25,2025-01-05,AA,92641556,-2580574,26810674,218502991
CUST000006,Company_6,FR,551111,23879065,3.37,2025-01-06,BB,13425585,15781433,403875979,248682482
CUST000007,Company_7,DE,2361,43224647,9.04,2025-01-07,AAA,78328152,9723197,344806998,215757158
CUST000008,Company_8,FR,52,34444245,4.51,2025-01-08,CCC,61316012,-2819522,126664916,55606732
CUST000009,Company_9,US,2361,37365089,4.5,2025-01-09,AA,74229229,4370101,153774779,139246327
CUST000010,Company_10,DE,2361,41951724,6.38,2025-01-10,BB,31819481,-3294630,169452968,163079507
CUST000011,Company_11,US,5312,37947756,7.18,2025-01-11,CCC,79916856,16505901,277606018,280526389
CUST000012,Company_12,US,52,10661389,1.82,2025-01-12,A,32884490,19972217,33362400,68569006
CUST000013,Company_13,UK,2361,44695925,3.94,2025-01-13,CCC,90005505,8615369,54116366,86328749
CUST000014,Company_14,UK,5312,32390676,5.79,2025-01-14,AAA,95570642,7485094,498451953,39402902
CUST000015,Company_15,US,52,28649066,7.03,2025-01-15,AAA,21800779,6482531,193532887,298881258
CUST000016,Company_16,DE,5411,21997757,8.9,2025-01-16,AAA,15908869,17965343,64928796,231886417
CUST000017,Company_17,DE,2361,18927112,4.21,2025-01-17,AA,23943425,-2315954,97553519,264183709
CUST000018,Company_18,US,551111,48234717,6.38,2025-01-18,BB,35002777,17659725,31788096,192287833
CUST000019,Company_19,DE,5312,10256875,2.46,2025-01-19,BBB,16659724,-3543335,414706922,61597475
CUST000020,Company_20,DE,551111,24895435,4.06,2025-01-20,AA,71923070,-2809769,67663613,164922215
CUST000021,Company_21,UK,5411,7222432,2.88,2025-01-21,B,79857053,-2728217,193872908,243905488
CUST000022,Company_22,FR,5411,8234525,9.3,2025-01-22,BB,14433066,-3030310,181878774,186671888
CUST000023,Company_23,US,5411,37516205,2.92,2025-01-23,CCC,13914004,12374119,283499472,199398114
CUST000024,Company_24,UK,5312,35452382,8.13,2025-01-24,B,99989536,-3260348,213433998,294861886
CUST000025,Company_25,FR,5411,42943973,1.62,2025-01-25,BBB,50163762,1101195,232181946,210958967
CUST000026,Company_26,US,52,44451097,8.4,2025-01-26,A,72808638,17336758,187806011,299224954
CUST000027,Company_27,DE,52,20614665,6.18,2025-01-27,A,60093415,3541633,242831579,112956573
CUST000028,Company_28,UK,551111,17953170,7.49,2025-01-28,B,74716536,-2846627,130199495,274895812
CUST000029,Company_29,UK,52,8026233,6.64,2025-01-29,AAA,63239683,7061086,59631977,32367457
CUST000030,Company_30,CA,52,26551799,9.36,2025-01-30,AA,80485455,10857267,57405414,51743361
CUST000031,Company_31,CA,2361,35017507,6.21,2025-01-31,B,29191380,15724782,446447519,54066436
CUST000032,Company_32,DE,5312,31161877,5.53,2025-02-01,B,46950225,9631509,352122325,219002709
CUST000033,Company_33,US,2361,47724896,3.14,2025-02-02,AA,16518042,17708044,293216748,157358922
CUST000034,Company_34,CA,5312,44647284,3.97,2025-02-03,AA,85541629,4515977,211439524,232555703
CUST000035,Company_35,UK,2361,13292389,5.99,2025-02-04,CCC,21270978,33044,102654907,134222764
CUST000036,Company_36,UK,5411,38354966,2.26,2025-02-05,CCC,87619514,8343496,167999235,296027454
CUST000037,Company_37,UK,551111,45177374,2.35,2025-02-06,AA,82905266,-695251,388935835,18278134
CUST000038,Company_38,DE,5411,4937969,8.23,2025-02-07,CCC,26972752,-1968160,283832860,148898914
CUST000039,Company_39,CA,5411,43453097,9.4,2025-02-08,BBB,66733280,13541703,210999808,226933703
CUST000040,Company_40,US,2361,41535384,5.96,2025-02-09,AAA,12617332,2784945,43000588,42998949
CUST000041,Company_41,US,551111,12869595,5.61,2025-02-10,A,54925703,17851503,406168406,16523902
CUST000042,Company_42,FR,2361,42694798,8.08,2025-02-11,BBB,73305934,6598852,269914117,235376816
CUST000043,Company_43,FR,551111,32294621,5.0,2025-02-12,BB,63082727,8703555,379143372,101867849
CUST000044,Company_44,US,5411,19388995,6.15,2025-02-13,A,65802090,-2055840,143315297,187872539
CUST000045,Company_45,DE,551111,18507237,5.2,2025-02-14,CCC,74480883,-4664771,313934811,138555744
CUST000046,Company_46,FR,2361,33277892,9.95,2025-02-15,CCC,43828772,3040512,300542827,140922037
CUST000047,Company_47,UK,5411,31820248,4.91,2025-02-16,CCC,60712211,-4089613,317997156,61292259
CUST000048,Company_48,DE,551111,17828420,9.71,2025-02-17,AA,99904066,-3353258,187308060,69758529
CUST000049,Company_49,FR,5411,9350169,9.59,2025-02-18,B,21353128,14601654,83911286,106694971
CUST000050,Company_50,DE,5312,5131536,7.16,2025-02-19,AAA,86081153,-208931,426172773,226643771
CUST000051,Company_51,DE,551111,4306853,8.12,2025-02-20,BBB,46780181,-630491,315471114,195581405
CUST000052,Company_52,DE,5411,15567326,9.58,2025-02-21,CCC,53789693,2547287,56440305,233764200
CUST000053,Company_53,US,551111,47887704,1.93,2025-02-22,AAA,72611284,17295242,188741862,192621794
CUST000054,Company_54,UK,551111,34180989,2.97,2025-02-23,CCC,61764286,7489530,294643841,88382591
CUST000055,Company_55,DE,5312,32409863,1.51,2025-02-24,A,75088664,17518241,23160612,6074948
CUST000056,Company_56,US,2361,43791393,8.2,2025-02-25,AA,86921723,2846047,89750347,110412204
CUST000057,Company_57,FR,5411,14775316,2.56,2025-02-26,AA,19096802,18283870,434881379,187923257
CUST000058,Company_58,DE,5411,43591477,4.79,2025-02-27,AAA,56531781,6912026,227187375,207164677
CUST000059,Company_59,UK,5411,40209372,8.32,2025-02-28,AAA,68163510,4513941,437440893,146840460
CUST000060,Company_60,DE,5312,22842242,3.66,2025-03-01,CCC,92578577,12417289,333037800,46771216
CUST000061,Company_61,UK,5312,1409813,8.37,2025-03-02,BB,19348424,3984514,471605709,60051682
CUST000062,Company_62,UK,551111,48100475,8.84,2025-03-03,AA,87921779,-2653198,457992252,176521162
CUST000063,Company_63,US,52,19181814,4.37,2025-03-04,B,70364835,8743932,210818435,163912550
CUST000064,Company_64,US,2361,40280617,3.24,2025-03-05,BB,57544626,1719238,313885249,22896787
CUST000065,Company_65,FR,5411,29496709,3.08,2025-03-06,AA,54757496,6945763,356173593,204837318
CUST000066,Company_66,DE,52,5222733,1.71,2025-03-07,BB,61574576,9641524,217620299,168712966
CUST000067,Company_67,UK,2361,39279919,2.94,2025-03-08,BBB,86505139,6788459,352965982,197978626
CUST000068,Company_68,UK,2361,34056920,2.13,2025-03-09,A,28224001,14532589,424362357,264119316
CUST000069,Company_69,FR,5312,44115774,5.38,2025-03-10,B,16410023,12085768,159576391,92794824
CUST000070,Company_70,US,551111,14640413,1.73,2025-03-11,CCC,75974184,-4748069,432743241,272015876
CUST000071,Company_71,UK,5312,48403481,8.33,2025-03-12,BBB,36113414,18761748,44846828,132489527
CUST000072,Company_72,UK,5411,12295970,6.51,2025-03-13,A,79051188,7295247,216311119,105770054
CUST000073,Company_73,FR,5411,48939811,7.61,2025-03-14,AAA,55000840,16374617,267627057,116936703
CUST000074,Company_74,US,551111,36909085,4.25,2025-03-15,AAA,27773962,6805386,382056867,86415227
CUST000075,Company_75,DE,551111,27609406,4.53,2025-03-16,A,61953483,2189134,369994449,208053820
