Customer_ID,Loan_Type,Currency,Economic_Capital,Expected_Credit_Loss,Stress_Test_Scenario,Recovery_Percentage,Net_Loss_Given_Default
d6c564da-e9e1-4238-ab83-b1c62ec5e39a,Bridge Loan,CNY,804178.87,499790.18,174605.86,790507.18,660624.26
b702b410-6068-40ab-9a5e-440e7d2cae69,Syndicated Loan,CNY,368205.01,175177.09,860617.5,659281.8,738472.3
f8b9c41d-dac7-41cc-a53d-27c333c9c6ce,Revolver,USD,320632.8,699290.0,114349.06,282885.2,597700.66
b4fe5015-b37f-4364-9fe3-1dce736ed530,Revolver,GBP,23474.98,732994.49,409728.06,342712.95,922241.49
46bf1efd-e047-419f-9215-4be44eb1f45f,Syndicated Loan,EUR,618528.03,905876.17,130755.04,987122.03,488181.06
b395abd0-4591-4f5c-abd2-3b35f15c8644,Bridge Loan,EUR,889506.77,748961.25,913603.65,607841.22,209761.16
1f2e7461-9780-4f89-9ca9-5c5f571b8864,Term Loan,JPY,34724.06,163672.3,513463.58,862888.0,973084.67
37c81275-bd92-4e3a-ac17-15ae5c0c787b,Syndicated Loan,USD,710728.12,897359.04,189592.54,888537.66,687506.68
2cf9ea37-8e7d-47b1-94ab-e9bcd77694db,Term Loan,EUR,876799.03,137520.53,76348.45,80571.53,806781.06
f1544509-4fbb-4b4b-9816-ef8759ce8d9f,Revolver,JPY,173869.64,163435.42,471221.91,814790.32,260899.21
231800f1-9ced-4192-a73e-00b0bdae0c5c,Syndicated Loan,CNY,311145.86,264005.5,16882.14,607362.32,368785.44
54a929b7-5875-42ac-bd74-584e61009c8b,Revolver,JPY,562703.56,314896.71,752584.02,257854.4,670582.85
0c762955-04b6-43fd-9f43-064bcb8431e8,Bridge Loan,GBP,650553.84,846051.38,332180.0,679797.52,518432.82
d6245e32-58c0-4890-a24f-a86a4bab7765,Term Loan,CNY,244208.0,159712.4,415190.09,204253.62,789901.26
c4772f5e-979d-461e-beb8-0456e710ce5a,Revolver,USD,662981.47,599021.31,519172.42,776985.76,300357.44
a466f0dc-a489-4613-a017-3414bc9825f8,Term Loan,USD,238221.57,946362.28,369069.32,735245.36,917407.93
b8da5e2e-cd9e-4d7e-8856-fefe9eda02c7,Revolver,JPY,138919.32,472196.91,10906.67,29357.95,320015.09
5c22cde1-d292-4776-8b0e-51f7ab5d181f,Syndicated Loan,CNY,73020.31,393933.82,717950.37,735544.0,721271.27
eef55099-f708-4dab-a2ba-be8f018e839d,Syndicated Loan,JPY,988073.79,687436.95,549956.29,463695.13,340105.69
