Loan_ID,Property_Type,Loan_Status,Currency,Commitment_Amount,Outstanding_Balance,PD,LGD,EAD,RWA,LTV,Economic_Capital,Expected_Credit_Loss,Recovery_Percentage,Net_Charge_Offs
88da1eaf-a181-4a57-a453-b4473f5d3c7f,Land,Default,GBP,264550833.3,700922198.6,946904.78,120865.7,690734.35,574691.56,5809.38,415197.42,479092.97,731214.14,76591.69
b18907f1-5978-4af5-a660-61484b53c9a0,Office,Default,EUR,38077530.49,913735565.2,48517.08,548803.69,324457.74,820048.2,43750.25,94236.4,26957.2,270880.61,767873.06
16f9c080-22fd-4a41-be2e-c9f2a2e4670d,Multifamily,Default,JPY,731366370.4,912025439.4,493011.58,22904.12,245960.72,619876.97,790852.38,472448.47,298938.56,694497.97,112426.19
bc7e7eeb-3d7f-4642-aea3-075d61560cf2,Self-Storage,Default,EUR,117103296.4,416127415.4,337256.74,412728.62,485050.66,547974.76,373493.32,677076.87,566501.99,855362.51,677446.5
416f11ba-6875-4555-97f5-2e7e883c06cc,Land,Delinquent,USD,720570626.1,482283729.6,982511.41,340449.65,804501.23,328406.54,533055.75,997569.92,873284.59,938454.57,503616.75
f3c7616c-0393-4b2b-a56f-a396a434a184,Hotel,Delinquent,GBP,673176199.7,824749480.2,282803.76,10457.44,860760.11,618289.04,609751.88,344903.69,971283.3,455290.49,355350.8
fba6c207-d99f-4ee2-a2bc-878d8e63f8d3,Retail,Default,EUR,552637319.4,61371782.55,431802.9,835375.05,942961.71,273698.94,373710.14,981845.54,94895.4,882276.31,289286.69
cd83c379-b62c-4a13-8bb1-82fe416e9cba,Self-Storage,Delinquent,GBP,128126419.9,36350676.78,815697.57,675366.52,854876.33,717291.66,676769.79,114323.87,505929.19,616101.61,912446.19
9b5d60e7-7459-4c40-8f82-c4f37c2e7444,Retail,Delinquent,EUR,88389413.85,57755239.84,361143.71,467121.62,112623.96,499956.28,315296.2,172420.42,869435.88,567493.0,332899.93
f581cde6-37bb-4a7f-b03b-87acba768309,Multifamily,Default,EUR,989962257.2,838160599.4,655024.28,8497.42,798189.17,445790.62,913527.28,761241.94,25843.28,670523.06,869244.19
7ec2236a-af4d-432a-b068-253ff66a2739,Hotel,Charged-Off,EUR,503555018.7,888126745.1,300765.15,112533.59,88490.41,792461.77,123060.55,872479.55,9158.23,594568.49,753500.73
17df6b03-7144-4b8f-a0e6-1a00db05bd86,Land,Default,USD,717064379.2,306874691.5,367669.75,953783.08,205413.8,275354.45,360679.77,126738.29,589139.7,158138.66,191128.79
8f5f538a-1b21-4c0b-8abe-b4698236456d,Retail,Charged-Off,GBP,620148223.4,647233698.7,389818.95,249867.12,117531.18,511457.47,765983.8,95690.78,74252.8,915450.63,38819.92
5f3e13b4-c4e4-4b3a-b1d3-c3482df39f16,Industrial,Charged-Off,GBP,549882539.4,123489697.9,87183.45,945079.47,543008.59,331374.07,129327.41,551800.34,98937.74,581825.47,160825.35
b4080ce6-0e1f-4cb5-8183-7a50bd316b51,Hotel,Default,CNY,914927465.9,207211235.4,130787.3,322939.57,202689.18,500622.29,254013.96,371659.91,843213.02,837972.04,944021.45
a6e2e9ee-9e76-44ca-b5b8-09ef7c569acb,Healthcare,Default,GBP,482121962.4,809038712.4,833849.3,654777.12,999205.1,293051.06,523170.84,149557.11,28144.84,970513.82,198565.84
729492a7-76c6-4cb4-b0ee-e613479257b5,Industrial,Charged-Off,EUR,275699206.8,317549039.4,849630.24,42957.65,357867.42,118869.45,60561.74,802144.02,66750.38,684808.69,416906.37
adb1b4b7-9e7a-4e5a-bc47-f8f271ad354e,Self-Storage,Default,CNY,724683338.4,547399488.7,993660.7,238267.03,450941.04,12606.51,584470.19,275494.59,222804.8,768162.17,628398.98
cae571b9-88f4-4270-8600-15f769ed68db,Retail,Default,JPY,198107914.7,399031976.5,633228.23,249588.47,134294.62,174477.08,64757.07,701219.32,858729.65,727225.81,876691.89
f2fbf57b-97df-4eb1-a4a9-487c1f143e8e,Healthcare,Current,GBP,711646323.2,58554064.97,365999.75,618713.17,33603.62,716512.73,101062.76,122944.18,841463.38,520093.61,641301.99
5cb12092-70a9-4dde-9699-73abdfe59295,Office,Default,USD,364337963.9,403428279.9,467380.03,331943.04,585577.68,54330.77,569267.08,603037.42,347350.28,345518.12,333241.22
b9d78380-33b2-4e45-aed8-5ea2f8a1084c,Hotel,Charged-Off,GBP,983955161.6,186729814.9,454679.79,383983.58,496033.55,641901.08,227874.77,724454.83,212168.43,238926.7,143621.42
6aaa6324-af52-4ce4-96e8-fd5e684cf6a5,Retail,Charged-Off,CNY,762791552.2,673358507.7,967546.37,14713.26,118847.36,528471.73,781465.99,335494.52,334630.57,568515.05,411219.49
4337cff8-1225-4c03-b3d2-106b9fcc1ea4,Land,Default,GBP,206163418.1,273190586.9,554481.82,531203.6,910571.4,942286.02,536600.48,180448.22,618375.06,905617.47,774850.66
a1f720b9-d599-4320-865a-d7b859e3f74b,Multifamily,Charged-Off,CNY,993811560.5,19250634.18,584454.09,512473.5,712220.61,373521.94,901380.72,471037.42,135734.2,951820.62,14478.49
6e358e07-b0ca-44ac-9034-457b0d009150,Multifamily,Delinquent,USD,555725818.6,703858348.8,806377.8,675489.99,203456.44,11906.56,76091.08,219638.56,179141.31,810587.05,125433.66
a953df04-8453-427a-9ff3-dbac57444319,Hotel,Delinquent,GBP,773999468.5,986622593.5,580333.57,387195.66,560762.44,365227.44,875562.49,390202.94,188540.67,178616.3,676034.31
68add3c2-2c3c-4e0a-b0bc-0e0da6919983,Multifamily,Default,GBP,90200521.57,1801292.1,462116.57,859059.33,441804.41,585065.29,800177.08,595696.68,3002.47,752957.52,304239.43
4d0135b2-43a8-417c-bd91-5c10f8bb722c,Self-Storage,Delinquent,GBP,64091280.57,484888654.8,434295.32,607391.14,407138.7,18997.48,844583.66,80221.7,400649.03,270500.75,390302.14
c05f1bda-8383-4fe6-8820-c398e3e0e6ad,Hotel,Charged-Off,USD,742796939.6,385906010.7,437989.63,53203.34,906644.29,513120.59,829758.73,684752.35,482670.4,120537.75,4381.39
e850a98b-5c44-4afb-b6c8-9fed6d19744a,Retail,Delinquent,JPY,87401711.59,398436816.1,748206.99,173118.12,82951.34,722508.45,308961.87,268305.89,461863.31,349851.4,835193.17
b8b13109-22e7-4aef-a4f6-e6609560b2d7,Office,Current,EUR,41266875.76,735260932.9,179710.38,696460.99,564756.32,52036.44,554693.53,883197.87,599263.26,425582.67,427142.83
2eb9cbc7-9f97-44d9-a620-53c688aff4a4,Office,Current,USD,428288813.8,608219887.7,765825.08,932927.35,581452.19,775405.48,539915.24,695849.23,333281.5,532506.63,471413.72
3b920fa1-093d-4e97-936e-deedda265a06,Self-Storage,Default,CNY,921501552.7,921162498.8,677869.2,701394.9,487438.21,744701.48,341045.6,599856.89,284916.2,590301.19,508105.25
