Loan_ID,Borrower_Name,Loan_Amount,Outstanding_Balance,Risk_Rating,Loan_Type,Origination_Date,Maturity_Date,Interest_Rate,Current_Status,Borrower_Industry,Credit_Score,Annual_Income,LTV_Ratio,Collateral_Type,Country,State,Reporting_Date
LN000001,Borrower_1,126958,209137,Low,Mortgage,2015-01-01,2025-01-01,7.39,Current,Manufacturing,578,37889,0.44,None,Canada,OH,2024-01-01
LN000002,Borrower_2,151867,56390,High,Commercial,2015-01-02,2025-01-02,5.98,Default,Technology,602,220482,0.6,Inventory,Canada,FL,2024-01-02
LN000003,Borrower_3,136932,410861,Low,Commercial,2015-01-03,2025-01-03,9.73,Current,Retail,311,311194,0.21,Real Estate,Germany,GA,2024-01-03
LN000004,Borrower_4,370838,224032,Medium,Commercial,2015-01-04,2025-01-04,9.04,Current,Finance,376,170903,0.33,Equipment,Germany,MI,2024-01-04
LN000005,Borrower_5,264178,55144,High,Personal,2015-01-05,2025-01-05,8.51,Current,Healthcare,317,226794,0.47,Equipment,Canada,GA,2024-01-05
LN000006,Borrower_6,124879,145454,Low,Personal,2015-01-06,2025-01-06,6.43,Current,Manufacturing,473,340055,0.69,None,UK,IL,2024-01-06
LN000007,Borrower_7,115268,5025,High,Mortgage,2015-01-07,2025-01-07,4.22,Current,Finance,700,220564,0.35,Inventory,Canada,NY,2024-01-07
LN000008,Borrower_8,212892,437442,High,Commercial,2015-01-08,2025-01-08,11.78,Default,Technology,386,474060,0.96,Equipment,UK,MI,2024-01-08
LN000009,Borrower_9,59886,342524,Medium,Commercial,2015-01-09,2025-01-09,13.5,Delinquent,Technology,642,59409,0.3,Inventory,USA,MI,2024-01-09
LN000010,Borrower_10,142337,255043,High,Mortgage,2015-01-10,2025-01-10,14.3,Default,Healthcare,748,40042,0.8,Equipment,Germany,OH,2024-01-10
LN000011,Borrower_11,480602,119910,Medium,Auto,2015-01-11,2025-01-11,3.23,Delinquent,Retail,353,301069,0.43,Real Estate,UK,OH,2024-01-11
LN000012,Borrower_12,435410,463927,High,Commercial,2015-01-12,2025-01-12,11.75,Current,Retail,726,30803,0.85,Real Estate,Canada,IL,2024-01-12
LN000013,Borrower_13,92498,97055,High,Personal,2015-01-13,2025-01-13,11.58,Default,Finance,377,64227,0.93,Equipment,USA,MI,2024-01-13
LN000014,Borrower_14,379871,389333,High,Auto,2015-01-14,2025-01-14,14.34,Delinquent,Finance,738,343382,0.27,Inventory,Canada,TX,2024-01-14
LN000015,Borrower_15,393468,206782,High,Auto,2015-01-15,2025-01-15,5.66,Delinquent,Retail,796,485635,0.54,Real Estate,USA,IL,2024-01-15
LN000016,Borrower_16,180203,397659,High,Auto,2015-01-16,2025-01-16,11.78,Current,Retail,471,170665,0.24,Equipment,France,NC,2024-01-16
LN000017,Borrower_17,196335,284539,High,Auto,2015-01-17,2025-01-17,3.18,Current,Finance,849,266453,0.74,Inventory,USA,NC,2024-01-17
LN000018,Borrower_18,283167,273869,Medium,Auto,2015-01-18,2025-01-18,10.39,Delinquent,Manufacturing,660,30234,0.85,Equipment,UK,GA,2024-01-18
LN000019,Borrower_19,46090,34461,Medium,Auto,2015-01-19,2025-01-19,6.89,Default,Technology,535,367937,0.45,Inventory,France,MI,2024-01-19
LN000020,Borrower_20,334365,259072,Low,Mortgage,2015-01-20,2025-01-20,12.11,Delinquent,Technology,732,41694,0.46,Equipment,USA,GA,2024-01-20
LN000021,Borrower_21,69820,42115,High,Mortgage,2015-01-21,2025-01-21,13.29,Default,Healthcare,315,204990,0.28,Equipment,USA,MI,2024-01-21
