Report Date,Bank ID,Total Assets,Total Liabilities,Equity,Net Income,Loan Type,Loan Amount,Interest Rate
2022-01-01,8270.0,1586200054.4989598,28155566.090886984,21753141.96470095,8079031.129972652,Wholesale,6924583.369055698,9.974719395103955
2022-01-02,1860.0,486228332.561006,256579401.81567487,34720734.12505348,1551035.879836551,Retail,476952.1385182888,9.958074184109933
2022-01-03,6390.0,329130933.7532603,423977144.6498058,925632033.5242358,1477525.1813065135,,1043969.4685627274,3.991387260477734
2022-01-04,6191.0,963642127.051837,717196655.955171,119685182.56031133,26565294.4896397,Retail,9235872.347194431,0.6227569100523274
2022-01-05,6734.0,,275503663.1529814,787141109.9894737,6149554.534669734,Retail,2036376.1397752645,6.435387958797322
2022-01-06,7265.0,753737816.0307056,580729779.4078583,850098440.4888192,5094435.074940048,Auto,7366262.310076278,1.6436363257341315
2022-01-07,1466.0,983933577.3599175,731956130.4804205,,3671712.339682688,Wholesale,4465741.610541221,9.609142601053932
,5426.0,114437092.16493034,698832355.5292834,840113456.6401435,9336450.928529818,Wholesale,4260037.483170834,4.591366405801479
2022-01-09,6578.0,992332329.3594358,,107254770.70076706,890300.41994864,Mortgage,896758.4286785722,8.077354200591369
2022-01-10,9322.0,,580611165.5744109,999039996.9217619,324051.3969544135,Auto,5797633.964912174,5.017281165742839
2022-01-11,2685.0,416036321.9054085,12265324808.642632,597636143.2887216,942851.0864718782,Auto,8113300.91601301,
2022-01-12,1769.0,239708622.5842992,336176250.29393566,853117881.1403214,,Auto,4813192.376272152,5.156841742525955
2022-01-13,7949.0,953892117.441786,450764687.56757134,,7676009.396586383,Mortgage,5267533.4172402965,8.754844499296441
2022-01-14,3433.0,636154144.8643423,966200693.0207264,311939791.50217676,7197574.321556536,Credit Card,5199832.661992841,5.980260422015712
2022-01-15,6311.0,4182712844.0273275,668933251.6887616,154423741.71186477,90157385.66899905,Wholesale,1363996.1288215655,8.131575022604487
2022-01-16,6051.0,997441066.3824394,520372304.6968733,716913318.6848094,7056511.3935453445,Retail,1475317.1298620095,8.50469406518117
2022-01-17,7420.0,612813677.7868632,578733770.6820879,24582807.90408154,9997863.602520877,Wholesale,4594940.846611749,1.8104003507066841
2022-01-18,2184.0,646513721.0550978,105324357.328244,109030794.4203092,5044125.541834787,Auto,7118498.64913747,7.239274883559215
2022-01-19,5555.0,45729524.997462265,592396767.0332526,173786837.00628805,9943383.362628184,Mortgage,6283032.3845399255,1.889931981277166
2022-01-20,4385.0,859191551.4315038,836662469.573638,691329380.604376,,Mortgage,3572499.5107456897,5.158721308492208
,7396.0,970119342.3103818,524092073.399457,654765886.8601995,-1122142.521856887,Mortgage,3966797.6856609765,5.564412925711836
2022-01-22,9666.0,960350839.3731629,177720857.1822824,621885043.1793399,7848795.2289347965,Auto,9872584.91585229,5.151647803277048
2022-01-23,3558.0,221884503.92853072,448761702.52468324,413069295.61037004,8746825.279649619,Retail,4057081.2150306003,3.3825542814631713
2022-01-24,8849.0,226689428.62618896,278745745.8159124,934594971.338076,3930299.437016395,Retail,2463120.040212533,
2022-01-25,3047.0,366681078.087965,360381095.51258546,963000754.9231939,6374327.934423876,Auto,3857622.2885526083,4.581054337585053
2099-12-31,3747.0,310899860.84664935,225783990.27536184,,9305039.427207783,,5983367.475083354,
